open_time,close_time,open,high,low,close,volume,trades
1766793600000,1766793659999,2926.7,2928.5,2926.7,2928.2,439.2183,209
1766793660000,1766793719999,2928.0,2928.0,2927.9,2927.9,1.5110,16
1766793720000,1766793779999,2928.0,2928.3,2927.5,2927.5,16.7754,27
1766793780000,1766793839999,2927.2,2928.4,2927.1,2928.4,28.0516,39
1766793840000,1766793899999,2928.4,2928.7,2928.4,2928.7,12.8153,16
1766793900000,1766793959999,2928.7,2929.3,2928.7,2929.1,6.5078,136
1766793960000,1766794019999,2929.1,2929.6,2928.1,2928.1,24.9566,48
1766794020000,1766794079999,2928.1,2928.7,2928.1,2928.7,71.7762,33
1766794080000,1766794139999,2928.7,2928.7,2928.1,2928.1,75.2771,39
1766794140000,1766794199999,2928.2,2928.7,2928.2,2928.4,14.4772,34
1766794200000,1766794259999,2928.5,2929.7,2928.4,2929.6,34.2278,25
1766794260000,1766794319999,2929.6,2929.7,2929.3,2929.4,7.9741,19
1766794320000,1766794379999,2929.4,2929.4,2928.8,2928.9,18.7552,20
1766794380000,1766794439999,2928.9,2928.9,2928.8,2928.9,0.8656,14
1766794440000,1766794499999,2928.9,2928.9,2925.9,2927.0,68.5140,229
1766794500000,1766794559999,2926.9,2927.0,2926.9,2927.0,119.5976,21
1766794560000,1766794619999,2927.0,2927.0,2926.9,2927.0,13.2578,13
1766794620000,1766794679999,2927.0,2928.3,2927.0,2927.7,1404.3489,164
1766794680000,1766794739999,2927.8,2928.2,2927.8,2928.2,0.8924,14
1766794740000,1766794799999,2928.1,2928.1,2926.9,2926.9,2.1780,14
1766794800000,1766794859999,2926.5,2926.5,2924.0,2924.1,56.9684,213
1766794860000,1766794919999,2924.1,2925.0,2922.7,2923.7,94.8648,166
1766794920000,1766794979999,2923.5,2923.6,2922.3,2923.4,9.2432,19
1766794980000,1766795039999,2923.6,2923.6,2922.9,2923.5,86.9670,47
1766795040000,1766795099999,2923.6,2923.6,2923.5,2923.6,25.7955,20
1766795100000,1766795159999,2923.6,2923.6,2923.5,2923.6,34.5402,38
1766795160000,1766795219999,2923.6,2923.6,2923.0,2923.0,2.9106,11
1766795220000,1766795279999,2923.1,2923.6,2923.1,2923.5,7.9491,26
1766795280000,1766795339999,2923.6,2924.5,2923.5,2924.2,213.9889,57
1766795340000,1766795399999,2924.2,2924.2,2924.0,2924.0,6.2044,19
1766795400000,1766795459999,2924.0,2924.0,2923.4,2923.5,2.4639,12
1766795460000,1766795519999,2923.5,2924.5,2923.5,2924.5,4.1978,21
1766795520000,1766795579999,2924.2,2924.2,2924.0,2924.0,1.0771,7
1766795580000,1766795639999,2924.0,2925.5,2924.0,2925.4,3.4480,23
1766795640000,1766795699999,2925.5,2925.5,2924.9,2924.9,50.5851,45
1766795700000,1766795759999,2924.8,2925.0,2924.8,2925.0,1.5702,12
1766795760000,1766795819999,2925.1,2925.2,2924.9,2924.9,30.5201,61
1766795820000,1766795879999,2925.0,2925.1,2924.9,2925.0,0.1432,14
1766795880000,1766795939999,2925.1,2925.7,2925.1,2925.7,2.2291,27
1766795940000,1766795999999,2925.8,2927.6,2925.8,2927.4,42.7341,192
1766796000000,1766796059999,2927.4,2927.4,2926.9,2927.0,2.7045,8
1766796060000,1766796119999,2927.0,2927.0,2926.6,2926.6,2.4807,11
1766796120000,1766796179999,2926.7,2927.0,2926.6,2927.0,1.0733,10
1766796180000,1766796239999,2927.0,2928.2,2926.9,2928.2,2.9903,16
1766796240000,1766796299999,2928.2,2928.2,2927.7,2927.7,59.5108,29
1766796300000,1766796359999,2927.7,2927.7,2927.3,2927.3,9.7390,15
1766796360000,1766796419999,2927.3,2927.3,2926.6,2926.6,0.1941,7
1766796420000,1766796479999,2926.6,2926.9,2926.5,2926.9,1.9554,11
1766796480000,1766796539999,2926.8,2927.1,2926.8,2926.8,1.7157,10
