open_time,close_time,open,high,low,close,volume,trades
1760659200000,1760659259999,3893.1,3893.1,3889.8,3890.5,252.0389,254
1760659260000,1760659319999,3890.5,3891.0,3889.7,3890.4,296.5451,99
1760659320000,1760659379999,3890.4,3891.8,3888.1,3891.8,1334.3634,253
1760659380000,1760659439999,3891.8,3893.0,3887.0,3887.0,900.6402,204
1760659440000,1760659499999,3887.0,3896.1,3886.7,3895.8,55.5645,132
1760659500000,1760659559999,3895.8,3895.8,3891.6,3891.9,78.7885,119
1760659560000,1760659619999,3891.9,3892.7,3890.1,3890.4,218.3334,97
1760659620000,1760659679999,3890.4,3897.0,3890.4,3897.0,82.7199,86
1760659680000,1760659739999,3897.0,3899.0,3893.6,3897.9,633.8444,256
1760659740000,1760659799999,3897.9,3899.8,3895.5,3899.8,175.7348,177
1760659800000,1760659859999,3899.8,3902.0,3897.7,3901.9,794.9869,247
1760659860000,1760659919999,3902.0,3902.0,3898.8,3900.6,102.6094,139
1760659920000,1760659979999,3900.6,3900.6,3896.7,3897.7,96.1201,96
1760659980000,1760660039999,3897.8,3901.8,3897.7,3901.8,216.3544,100
1760660040000,1760660099999,3902.1,3903.3,3900.9,3901.6,92.3469,99
1760660100000,1760660159999,3901.6,3902.3,3899.3,3901.7,326.1744,125
1760660160000,1760660219999,3901.7,3904.1,3899.3,3899.9,159.2385,216
1760660220000,1760660279999,3899.8,3900.3,3898.0,3898.5,125.3204,124
1760660280000,1760660339999,3898.6,3902.1,3898.3,3900.7,80.4698,119
1760660340000,1760660399999,3900.9,3903.0,3900.2,3900.3,121.2030,83
1760660400000,1760660459999,3900.3,3900.6,3897.4,3899.3,190.7029,164
1760660460000,1760660519999,3899.3,3907.3,3898.5,3905.9,187.1707,194
1760660520000,1760660579999,3905.9,3906.7,3905.0,3905.7,110.8058,131
1760660580000,1760660639999,3905.8,3907.5,3905.3,3906.8,126.9853,94
1760660640000,1760660699999,3907.1,3907.2,3903.8,3903.9,99.0271,112
1760660700000,1760660759999,3904.2,3910.8,3903.9,3907.0,242.5867,375
1760660760000,1760660819999,3907.0,3907.0,3903.2,3903.3,47.0269,102
1760660820000,1760660879999,3903.3,3909.6,3903.2,3907.6,101.5441,189
1760660880000,1760660939999,3907.6,3910.2,3907.1,3910.2,338.6674,86
1760660940000,1760660999999,3910.2,3913.7,3909.9,3912.9,794.9519,209
1760661000000,1760661059999,3912.9,3913.6,3908.2,3908.4,413.3112,226
1760661060000,1760661119999,3908.4,3914.6,3907.4,3914.3,547.3150,200
1760661120000,1760661179999,3914.7,3915.5,3914.0,3914.7,59.2529,91
1760661180000,1760661239999,3914.7,3917.0,3914.2,3916.4,102.8538,162
1760661240000,1760661299999,3916.2,3918.0,3913.7,3915.5,373.7584,204
1760661300000,1760661359999,3915.5,3917.1,3913.8,3917.0,94.2699,127
1760661360000,1760661419999,3917.5,3920.0,3916.5,3918.5,317.5059,184
1760661420000,1760661479999,3918.6,3919.7,3918.0,3918.0,416.5582,192
1760661480000,1760661539999,3918.1,3918.9,3914.1,3914.1,449.3873,168
1760661540000,1760661599999,3914.2,3918.4,3913.3,3918.4,108.2655,129
1760661600000,1760661659999,3919.0,3924.1,3918.9,3922.4,430.7221,185
1760661660000,1760661719999,3922.5,3924.1,3920.6,3921.0,193.2048,125
1760661720000,1760661779999,3921.0,3923.5,3920.6,3920.6,118.3451,138
1760661780000,1760661839999,3920.7,3920.7,3918.3,3919.3,52.6972,113
1760661840000,1760661899999,3919.3,3919.8,3918.6,3918.6,109.2602,73
1760661900000,1760661959999,3919.1,3919.1,3913.5,3916.7,153.1354,174
1760661960000,1760662019999,3916.4,3917.3,3914.2,3917.2,158.6130,130
1760662020000,1760662079999,3917.3,3917.7,3915.6,3917.3,164.4214,122
1760662080000,1760662139999,3917.3,3918.1,3914.0,3914.0,171.0367,105
1760662140000,1760662199999,3914.1,3915.5,3913.2,3914.5,181.6401,102
1760662200000,1760662259999,3914.6,3919.7,3914.5,3919.6,175.0982,96
1760662260000,1760662319999,3919.7,3919.7,3916.6,3916.6,39.8531,79
1760662320000,1760662379999,3916.6,3916.6,3912.7,3913.6,57.2818,152
1760662380000,1760662439999,3913.7,3915.0,3912.4,3914.6,94.7011,68
1760662440000,1760662499999,3915.0,3923.3,3915.0,3923.3,44.1632,118
1760662500000,1760662559999,3923.3,3924.1,3920.4,3921.4,364.6439,217
1760662560000,1760662619999,3921.5,3923.1,3920.7,3921.9,169.5484,119
1760662620000,1760662679999,3921.5,3923.2,3921.4,3923.2,52.4129,55
1760662680000,1760662739999,3923.2,3923.2,3921.4,3921.6,82.6783,69
1760662740000,1760662799999,3921.6,3925.8,3919.9,3925.8,375.5783,162
1760662800000,1760662859999,3925.8,3926.3,3922.0,3923.4,186.8510,158
