open_time,close_time,open,high,low,close,volume,trades
1747612800000,1747616399999,2499.8,2515.4,2430.0,2444.6,17430.6698,10023
1747616400000,1747619999999,2444.3,2451.6,2415.9,2429.7,7468.4645,4735
1747620000000,1747623599999,2429.8,2436.4,2393.1,2402.0,5663.2365,5055
1747623600000,1747627199999,2402.0,2405.0,2380.1,2386.4,7814.5498,3956
1747627200000,1747630799999,2386.3,2405.9,2352.7,2366.8,8821.3662,6702
1747630800000,1747634399999,2366.6,2386.5,2358.0,2379.3,6528.7091,5207
1747634400000,1747637999999,2379.2,2399.1,2350.1,2354.4,6197.6076,5441
1747638000000,1747641599999,2354.5,2414.5,2353.2,2405.2,6110.4294,4871
1747641600000,1747645199999,2405.1,2424.2,2392.3,2406.8,9823.2417,3557
1747645200000,1747648799999,2406.9,2416.8,2392.9,2406.8,6077.7167,2749
1747648800000,1747652399999,2406.6,2420.9,2394.0,2411.5,3606.5489,2020
1747652400000,1747655999999,2411.5,2423.7,2409.1,2419.0,2820.9089,1447
1747656000000,1747659599999,2419.1,2422.6,2386.6,2402.3,7333.9385,5645
1747659600000,1747663199999,2402.3,2443.9,2397.2,2428.2,8131.7744,5207
1747663200000,1747666799999,2428.2,2456.1,2419.8,2448.4,9639.7243,3823
1747666800000,1747670399999,2448.7,2474.9,2445.0,2468.3,6390.7251,4884
1747670400000,1747673999999,2468.4,2511.0,2452.9,2510.9,8683.3523,7757
1747674000000,1747677599999,2511.0,2549.2,2504.1,2507.1,15423.7045,7575
1747677600000,1747681199999,2507.2,2519.7,2477.3,2490.6,15734.6310,5981
1747681200000,1747684799999,2490.6,2526.0,2480.7,2521.4,9619.2099,7384
1747684800000,1747688399999,2521.5,2535.5,2507.7,2522.1,7009.6880,2665
1747688400000,1747691999999,2522.1,2526.3,2504.2,2524.4,3632.8071,1887
1747692000000,1747695599999,2524.5,2524.5,2494.3,2505.4,2866.4055,1709
1747695600000,1747699199999,2506.0,2534.9,2502.4,2529.0,3425.6643,1860
