open_time,close_time,open,high,low,close,volume,trades
1742637600000,1742641199999,1996.5,1998.0,1995.5,1995.9,129.5525,95
1742641200000,1742644799999,1995.6,1996.5,1987.1,1989.4,1001.8200,675
1742644800000,1742648399999,1989.7,1995.3,1987.8,1994.2,1795.1622,1293
1742648400000,1742651999999,1994.1,1996.6,1984.7,1989.4,4951.8177,3566
1742652000000,1742655599999,1989.5,1992.0,1982.6,1983.4,3839.1226,3311
1742655600000,1742659199999,1983.3,1987.4,1980.4,1985.5,4106.4941,4059
1742659200000,1742662799999,1985.5,1988.8,1981.4,1983.9,1755.3305,1209
1742662800000,1742666399999,1984.0,1993.6,1984.0,1991.7,1361.2520,1400
1742666400000,1742669999999,1991.7,1998.3,1990.1,1994.6,2275.5689,1564
1742670000000,1742673599999,1994.6,1997.5,1992.8,1995.1,1598.5723,709
1742673600000,1742677199999,1995.0,2003.0,1992.4,1992.6,1266.4738,1113
1742677200000,1742680799999,1992.4,1994.0,1983.0,1985.2,1250.3814,1216
1742680800000,1742684399999,1985.1,1989.3,1983.2,1984.1,785.4164,548
1742684400000,1742687999999,1983.7,1984.8,1974.0,1979.6,3526.5746,2261
