open_time,close_time,open,high,low,close,volume,trades
1760832000000,1760833799999,107214.0,107272.0,107055.0,107125.0,5.31007,1061
1760833800000,1760835599999,107124.0,107136.0,106791.0,106933.0,4.39368,1103
1760835600000,1760837399999,106934.0,106996.0,106770.0,106973.0,16.51340,1016
1760837400000,1760839199999,106973.0,107022.0,106934.0,106991.0,7.19039,1057
1760839200000,1760840999999,106992.0,107004.0,106931.0,106931.0,3.18218,631
1760841000000,1760842799999,106932.0,106965.0,106842.0,106871.0,8.56797,578
1760842800000,1760844599999,106870.0,107158.0,106832.0,107132.0,6.28728,705
1760844600000,1760846399999,107134.0,107367.0,107134.0,107281.0,9.92165,998
1760846400000,1760848199999,107281.0,107286.0,107025.0,107065.0,6.23686,928
1760848200000,1760849999999,107065.0,107196.0,107060.0,107060.0,7.70334,982
1760850000000,1760851799999,107061.0,107216.0,106957.0,106994.0,13.70354,1451
1760851800000,1760853599999,106995.0,107071.0,106831.0,106910.0,8.40163,1324
1760853600000,1760855399999,106909.0,106952.0,106827.0,106844.0,6.74394,1141
1760855400000,1760857199999,106843.0,106846.0,106631.0,106812.0,9.18807,1380
1760857200000,1760858999999,106811.0,106946.0,106774.0,106870.0,14.00014,1350
1760859000000,1760860799999,106871.0,106911.0,106719.0,106800.0,11.62307,1504
1760860800000,1760862599999,106801.0,107232.0,106320.0,106735.0,15.33103,2638
1760862600000,1760864399999,106739.0,106743.0,106320.0,106469.0,11.02817,2405
1760864400000,1760866199999,106468.0,106494.0,106144.0,106188.0,10.34775,1800
1760866200000,1760867999999,106170.0,108197.0,106170.0,107431.0,27.00702,2446
1760868000000,1760869799999,107432.0,107897.0,107070.0,107817.0,14.28043,2059
1760869800000,1760871599999,107817.0,107911.0,107547.0,107902.0,12.38314,1616
1760871600000,1760873399999,107903.0,108271.0,107805.0,107875.0,13.85791,2175
1760873400000,1760875199999,107874.0,108029.0,107691.0,107834.0,12.98455,2196
1760875200000,1760876999999,107833.0,107884.0,107539.0,107549.0,39.62085,2482
1760877000000,1760878799999,107548.0,107724.0,107487.0,107649.0,22.01532,2677
1760878800000,1760880599999,107650.0,107691.0,107414.0,107528.0,14.68750,1358
1760880600000,1760882399999,107528.0,108233.0,107528.0,108117.0,13.13263,2754
1760882400000,1760884199999,108118.0,108514.0,107945.0,108426.0,16.80484,2355
1760884200000,1760885999999,108413.0,108529.0,108199.0,108458.0,15.27980,1772
1760886000000,1760887799999,108459.0,108642.0,108430.0,108500.0,18.65711,2425
1760887800000,1760889599999,108500.0,108552.0,108404.0,108502.0,16.37350,1641
1760889600000,1760891399999,108503.0,108550.0,108288.0,108371.0,16.88095,850
1760891400000,1760893199999,108370.0,108946.0,108305.0,108658.0,47.68112,1425
1760893200000,1760894999999,108659.0,109443.0,108658.0,109108.0,25.08087,1096
1760895000000,1760896799999,109109.0,109282.0,109089.0,109156.0,5.56315,879
1760896800000,1760898599999,109156.0,109386.0,109085.0,109305.0,44.30354,1211
1760898600000,1760900399999,109305.0,109467.0,109223.0,109466.0,13.85245,1009
1760900400000,1760902199999,109466.0,109466.0,108992.0,109166.0,12.02774,1031
1760902200000,1760903999999,109166.0,109166.0,108869.0,108951.0,10.54090,936
1760904000000,1760905799999,108943.0,109009.0,108865.0,108943.0,6.79587,702
1760905800000,1760907599999,108944.0,108998.0,108875.0,108897.0,1.79937,738
1760907600000,1760909399999,108898.0,108898.0,108688.0,108688.0,4.28985,491
1760909400000,1760911199999,108688.0,108814.0,108682.0,108795.0,1.76188,499
1760911200000,1760912999999,108800.0,109276.0,108800.0,109259.0,16.66722,1285
1760913000000,1760914799999,109261.0,109399.0,109175.0,109177.0,12.81354,1627
1760914800000,1760916599999,109180.0,109185.0,108770.0,108811.0,11.05215,984
1760916600000,1760918399999,108812.0,108837.0,108514.0,108671.0,5.29270,869
