open_time,close_time,open,high,low,close,volume,trades
1762387200000,1762387259999,3424.3,3424.4,3423.4,3423.4,0.3487,18
1762387260000,1762387319999,3422.3,3422.3,3419.6,3419.6,0.0648,6
1762387320000,1762387379999,3419.6,3419.6,3409.2,3409.8,23.6938,35
1762387380000,1762387439999,3408.4,3410.0,3408.4,3410.0,0.0251,7
1762387440000,1762387499999,3410.6,3410.6,3407.4,3407.4,10.3391,15
1762387500000,1762387559999,3407.4,3408.6,3404.7,3404.7,0.0943,13
1762387560000,1762387619999,3406.7,3406.7,3404.7,3405.6,0.1485,9
1762387620000,1762387679999,3405.6,3406.4,3403.9,3405.4,0.0578,10
1762387680000,1762387739999,3405.0,3405.6,3404.5,3405.6,0.1236,12
1762387740000,1762387799999,3407.6,3412.0,3407.6,3411.9,0.6191,17
1762387800000,1762387859999,3411.2,3414.8,3411.2,3413.5,1.3019,17
1762387860000,1762387919999,3413.7,3413.7,3413.4,3413.4,0.0918,5
1762387920000,1762387979999,3414.1,3414.2,3412.3,3413.0,0.0294,9
1762387980000,1762388039999,3415.0,3415.7,3411.1,3411.1,0.8637,9
1762388040000,1762388099999,3411.7,3413.2,3411.7,3413.2,0.0167,6
1762388100000,1762388159999,3413.1,3413.1,3410.8,3411.5,0.1292,9
1762388160000,1762388219999,3411.9,3414.0,3411.9,3414.0,0.0180,3
1762388220000,1762388279999,3415.5,3415.9,3415.5,3415.8,0.0214,3
1762388280000,1762388339999,3409.7,3409.7,3409.0,3409.0,0.2418,3
1762388340000,1762388399999,3408.0,3408.0,3408.0,3408.0,0.0034,1
1762388400000,1762388459999,3409.2,3409.2,3407.0,3407.0,0.0068,2
1762388460000,1762388519999,3406.4,3406.4,3404.8,3404.8,0.0068,2
1762388520000,1762388579999,3404.2,3404.9,3404.2,3404.9,0.0068,2
1762388580000,1762388639999,3403.6,3403.6,3400.0,3400.0,10.1171,16
1762388640000,1762388699999,3400.0,3400.4,3400.0,3400.3,15.2123,5
1762388700000,1762388759999,3397.7,3400.3,3397.7,3400.0,0.0114,3
1762388760000,1762388819999,3403.1,3403.1,3401.4,3401.7,1.3215,7
1762388820000,1762388879999,3402.5,3402.5,3401.5,3401.5,0.0068,2
1762388880000,1762388939999,3402.3,3402.3,3402.2,3402.2,0.1407,2
1762388940000,1762388999999,3405.1,3405.3,3403.9,3403.9,1.1344,8
1762389000000,1762389059999,3404.9,3405.1,3404.3,3405.0,0.0281,7
1762389060000,1762389119999,3403.7,3404.1,3400.8,3400.8,8.9089,21
1762389120000,1762389179999,3400.3,3400.3,3400.0,3400.0,0.2504,5
1762389180000,1762389239999,3400.9,3400.9,3400.0,3400.4,1.2207,10
1762389240000,1762389299999,3399.5,3399.5,3396.0,3398.3,4.6892,15
1762389300000,1762389359999,3397.4,3401.1,3397.4,3401.1,1.6169,10
1762389360000,1762389419999,3400.8,3402.5,3400.8,3402.3,0.2467,4
1762389420000,1762389479999,3402.6,3402.6,3401.6,3401.8,0.0136,4
1762389480000,1762389539999,3400.7,3400.7,3398.7,3398.7,0.0502,4
1762389540000,1762389599999,3397.7,3397.8,3396.7,3397.5,0.0136,4
1762389600000,1762389659999,3398.4,3398.4,3397.0,3397.6,2.9269,7
1762389660000,1762389719999,3398.4,3398.4,3398.4,3398.4,0.5034,6
1762389720000,1762389779999,3398.4,3398.7,3398.0,3398.7,0.2386,5
1762389780000,1762389839999,3398.8,3398.8,3394.4,3394.4,1.0506,11
1762389840000,1762389899999,3394.2,3395.5,3394.2,3395.5,0.0322,4
1762389900000,1762389959999,3398.7,3399.4,3398.7,3399.4,0.0136,4
1762389960000,1762390019999,3399.7,3399.7,3397.3,3398.0,0.2733,5
1762390020000,1762390079999,3398.4,3398.4,3396.6,3396.6,0.0169,4
1762390080000,1762390139999,3398.3,3399.2,3398.3,3399.2,0.8550,6
1762390140000,1762390199999,3400.5,3400.6,3399.4,3399.4,0.0136,4
1762390200000,1762390259999,3401.4,3401.6,3399.9,3399.9,0.0136,4
1762390260000,1762390319999,3402.1,3402.6,3400.7,3402.4,0.5842,7
1762390320000,1762390379999,3401.6,3401.6,3401.0,3401.0,0.0102,3
1762390380000,1762390439999,3401.5,3402.8,3401.5,3402.8,0.0136,4
