open_time,close_time,open,high,low,close,volume,trades
1761436800000,1761436859999,3954.8,3954.9,3954.0,3954.0,0.1194,9
1761436860000,1761436919999,3953.6,3953.6,3952.0,3952.0,0.0742,4
1761436920000,1761436979999,3952.2,3952.2,3951.2,3951.2,0.7979,4
1761436980000,1761437039999,3952.1,3952.1,3952.1,3952.1,0.0029,1
1761437040000,1761437099999,3951.6,3951.6,3951.6,3951.6,0.0058,2
1761437100000,1761437159999,3953.1,3953.1,3951.2,3951.2,0.0058,2
1761437160000,1761437219999,3950.5,3950.5,3948.0,3948.0,13.1262,6
1761437220000,1761437279999,3948.1,3948.6,3947.9,3948.6,0.0225,3
1761437280000,1761437339999,3949.5,3949.5,3949.5,3949.5,0.0029,1
1761437340000,1761437399999,3947.9,3950.4,3947.9,3949.3,0.5007,9
1761437400000,1761437459999,3950.1,3950.1,3949.3,3949.3,0.0058,2
1761437460000,1761437519999,3949.3,3951.1,3949.3,3950.8,0.6040,4
1761437520000,1761437579999,3951.0,3951.0,3950.3,3950.3,0.0058,2
1761437580000,1761437639999,3950.8,3950.8,3950.8,3950.8,0.0058,2
1761437640000,1761437699999,3950.3,3950.3,3950.3,3950.3,0.0029,1
1761437700000,1761437759999,3954.2,3954.2,3951.5,3951.5,0.0058,2
1761437760000,1761437819999,3949.8,3949.8,3948.9,3948.9,0.0058,2
1761437820000,1761437879999,3949.4,3950.3,3949.4,3950.3,0.0653,3
1761437880000,1761437939999,3950.7,3950.7,3950.6,3950.6,0.0058,2
1761437940000,1761437999999,3950.2,3950.2,3950.2,3950.2,0.0029,1
1761438000000,1761438059999,3950.7,3951.3,3950.7,3951.3,0.2258,3
1761438060000,1761438119999,3952.7,3953.7,3952.7,3953.7,0.9218,9
1761438120000,1761438179999,3953.7,3953.7,3952.8,3952.8,1.3776,11
1761438180000,1761438239999,3952.9,3953.1,3952.9,3953.1,0.0058,2
1761438240000,1761438299999,3953.1,3953.1,3951.5,3951.6,0.1323,3
1761438300000,1761438359999,3951.0,3951.0,3951.0,3951.0,0.0029,1
1761438360000,1761438419999,3951.1,3951.1,3951.1,3951.1,0.0058,2
1761438420000,1761438479999,3951.2,3953.4,3951.2,3953.4,0.0058,2
1761438480000,1761438539999,3954.3,3954.6,3954.2,3954.6,1.1434,11
1761438540000,1761438599999,3954.7,3958.2,3954.7,3958.2,2.7116,22
1761438600000,1761438659999,3956.7,3958.8,3956.7,3958.8,0.8367,16
1761438660000,1761438719999,3957.5,3957.5,3956.6,3957.0,2.9072,25
1761438720000,1761438779999,3958.7,3958.7,3958.4,3958.4,0.0058,2
1761438780000,1761438839999,3958.4,3959.6,3958.4,3959.6,13.3553,15
1761438840000,1761438899999,3958.3,3959.9,3958.3,3959.9,0.1058,3
1761438900000,1761438959999,3959.4,3960.2,3959.4,3960.2,3.2029,7
1761438960000,1761439019999,3960.3,3960.3,3959.7,3959.7,1.0058,3
1761439020000,1761439079999,3958.4,3958.8,3958.4,3958.8,0.0759,4
1761439080000,1761439139999,3959.8,3961.1,3959.8,3960.8,1.0811,6
1761439140000,1761439199999,3960.7,3961.3,3960.7,3961.3,0.0397,5
1761439200000,1761439259999,3961.3,3961.9,3961.1,3961.1,0.0389,5
